log_id,site,plot,position,ants,treatment,plot_id,tree_r,cnpy_cov,cnpy_prop,host_abund,host_rich,par_abund,par_rich,ant_trap,ant_pres,cwd_vol,cwd_vol_imp,ant_w_occ,wantoc_imp,mc_mass,mc_imp,geomorph,geo_cat
w4_a.n17_G.D,A,N17,G,A,G,A_N17,1,27.22,0.2722,1,1,0,0,6,1,0,0,NA,8,0.264315871,0.264315871,Slope,2
w4_a.n17_S.D.A,A,N17,S,A,A,A_N17,1,27.22,0.2722,0,0,0,0,0,0,0,0,NA,8,0.288056206,0.288056206,Slope,2
w4_a.n17_S.D.nA,A,N17,S,nA,nA,A_N17,1,27.22,0.2722,11,1,0,0,0,0,0,0,NA,8,0.145945387,0.145945387,Slope,2
w4_a.n8_G.D,A,N8,G,A,G,A_N8,4,93.57,0.9357,0,0,0,0,0,0,0,0,22,22,0.400298973,0.400298973,Spur,1
w4_a.n8_S.D.A,A,N8,S,A,A,A_N8,4,93.57,0.9357,2,2,0,0,0,0,0,0,22,22,0.143845987,0.143845987,Spur,1
w4_a.n8_S.D.nA,A,N8,S,nA,nA,A_N8,4,93.57,0.9357,2,1,3,2,0,0,0,0,22,22,0.117041199,0.117041199,Spur,1
w4_a.n9_G.D,A,N9,G,A,G,A_N9,24,92.15,0.9215,2,1,0,0,0,0,0.1093382,0.1093382,17,17,0.509253028,0.509253028,Spur,1
w4_a.n9_S.D.A,A,N9,S,A,A,A_N9,24,92.15,0.9215,13,3,0,0,420,1,0.1093382,0.1093382,17,17,0.109170946,0.109170946,Spur,1
w4_a.n9_S.D.nA,A,N9,S,nA,nA,A_N9,24,92.15,0.9215,5,3,3,2,295,1,0.1093382,0.1093382,17,17,0.120138889,0.120138889,Spur,1
w4_a.o22_G.D,A,O22,G,A,G,A_O22,1,83.02,0.8302,0,0,0,0,0,0,0.3994453,0.3994453,17,17,0.201079742,0.201079742,Hollow,3
w4_a.o22_S.D.A,A,O22,S,A,A,A_O22,1,83.02,0.8302,0,0,0,0,0,0,0.3994453,0.3994453,17,17,0.265760507,0.265760507,Hollow,3
w4_a.o22_S.D.nA,A,O22,S,nA,nA,A_O22,1,83.02,0.8302,22,3,5,3,0,0,0.3994453,0.3994453,17,17,0.165967757,0.165967757,Hollow,3
w4_a.o27_G.D,A,O27,G,A,G,A_O27,1,79,0.79,0,0,0,0,0,0,0.0976425,0.0976425,17,17,0.301725393,0.301725393,Slope,2
w4_a.o27_S.D.A,A,O27,S,A,A,A_O27,1,79,0.79,52,1,0,0,0,0,0.0976425,0.0976425,17,17,0.076609105,0.076609105,Slope,2
w4_a.o27_S.D.nA,A,O27,S,nA,nA,A_O27,1,79,0.79,41,2,0,0,0,0,0.0976425,0.0976425,17,17,0.111336348,0.111336348,Slope,2
w4_a.p19_G.D,A,P19,G,A,G,A_P19,4,85.06,0.8506,0,0,0,0,0,0,0.3616256,0.3616256,13,13,0.536827477,0.536827477,Spur,1
w4_a.p19_S.D.A,A,P19,S,A,A,A_P19,4,85.06,0.8506,4,1,0,0,0,0,0.3616256,0.3616256,13,13,0.071704784,0.071704784,Spur,1
w4_a.p19_S.D.nA,A,P19,S,nA,nA,A_P19,4,85.06,0.8506,2,1,0,0,0,0,0.3616256,0.3616256,13,13,0.116252335,0.116252335,Spur,1
w4_a.p23_G.D,A,P23,G,A,G,A_P23,2,89.14,0.8914,3,3,0,0,2,1,0.5883841,0.5883841,15,15,0.771972458,0.771972458,Slope,2
w4_a.p23_S.D.A,A,P23,S,A,A,A_P23,2,89.14,0.8914,2,2,0,0,0,0,0.5883841,0.5883841,15,15,0.138754263,0.138754263,Slope,2
w4_a.p23_S.D.nA,A,P23,S,nA,nA,A_P23,2,89.14,0.8914,8,2,0,0,0,0,0.5883841,0.5883841,15,15,0.13761525,0.13761525,Slope,2
w4_a.p26_G.D,A,P26,G,A,G,A_P26,2,85.74,0.8574,0,0,0,0,0,0,0.0043573,0.0043573,14,14,0.265596919,0.265596919,Spur,1
w4_a.p26_S.D.A,A,P26,S,A,A,A_P26,2,85.74,0.8574,4,1,3,1,1,1,0.0043573,0.0043573,14,14,0.101871102,0.101871102,Spur,1
w4_a.p26_S.D.nA,A,P26,S,nA,nA,A_P26,2,85.74,0.8574,2,1,1,1,0,0,0.0043573,0.0043573,14,14,0.076624978,0.076624978,Spur,1
w4_a.q21_G.D,A,Q21,G,A,G,A_Q21,2,79.57,0.7957,0,0,0,0,0,0,0,0,24,24,0.395280612,0.395280612,Slope,2
w4_a.q21_S.D.A,A,Q21,S,A,A,A_Q21,2,79.57,0.7957,5,1,4,1,0,0,0,0,24,24,0.162375353,0.162375353,Slope,2
w4_a.q21_S.D.nA,A,Q21,S,nA,nA,A_Q21,2,79.57,0.7957,11,2,1,1,0,0,0,0,24,24,0.119154388,0.119154388,Slope,2
w4_a.q9_G.D,A,Q9,G,A,G,A_Q9,2,47.51,0.4751,0,0,0,0,0,0,0.0608476,0.0608476,20,20,0.46128,0.46128,Hollow,3
w4_a.q9_S.D.A,A,Q9,S,A,A,A_Q9,2,47.51,0.4751,4,2,2,1,1,1,0.0608476,0.0608476,20,20,0.231532809,0.231532809,Hollow,3
w4_a.q9_S.D.nA,A,Q9,S,nA,nA,A_Q9,2,47.51,0.4751,2,1,0,0,0,0,0.0608476,0.0608476,20,20,0.249253731,0.249253731,Hollow,3
w4_a.r14_G.D,A,R14,G,A,G,A_R14,1,88.36,0.8836,0,0,0,0,0,0,0.3990953,0.3990953,6,6,0.224796017,0.224796017,Slope,2
w4_a.r14_S.D.A,A,R14,S,A,A,A_R14,1,88.36,0.8836,3,2,0,0,636,1,0.3990953,0.3990953,6,6,0.160076227,0.160076227,Slope,2
w4_a.r14_S.D.nA,A,R14,S,nA,nA,A_R14,1,88.36,0.8836,18,4,4,1,0,0,0.3990953,0.3990953,6,6,0.302042802,0.302042802,Slope,2
w4_a.s10_G.D,A,S10,G,A,G,A_S10,8,91.45,0.9145,7,2,0,0,1,1,0.4784792,0.4784792,21,21,0.287936164,0.287936164,Slope,2
w4_a.s10_S.D.A,A,S10,S,A,A,A_S10,8,91.45,0.9145,7,1,0,0,0,0,0.4784792,0.4784792,21,21,0.176413065,0.176413065,Slope,2
w4_a.s10_S.D.nA,A,S10,S,nA,nA,A_S10,8,91.45,0.9145,2,1,0,0,0,0,0.4784792,0.4784792,21,21,0.226289271,0.226289271,Slope,2
w4_a.t15_G.D,A,T15,G,A,G,A_T15,8,90.32,0.9032,2,2,0,0,0,0,0.1433145,0.1433145,11,11,0.380674518,0.380674518,Spur,1
w4_a.t15_S.D.A,A,T15,S,A,A,A_T15,8,90.32,0.9032,2,2,0,0,0,0,0.1433145,0.1433145,11,11,0.126661521,0.126661521,Spur,1
w4_a.t15_S.D.nA,A,T15,S,nA,nA,A_T15,8,90.32,0.9032,2,1,4,1,0,0,0.1433145,0.1433145,11,11,0.129138499,0.129138499,Spur,1
w4_a.wx12_G.D,A,W12/X12,G,A,G,A_W12/X12,4,88.29,0.8829,1,1,0,0,2,1,0.2553425,0.2553425,19,19,0.39792564,0.39792564,Hollow,3
w4_a.wx12_S.D.A,A,W12/X12,S,A,A,A_W12/X12,4,88.29,0.8829,5,1,2,1,1,1,0.2553425,0.2553425,19,19,0.223300971,0.223300971,Hollow,3
w4_a.wx12_S.D.nA,A,W12/X12,S,nA,nA,A_W12/X12,4,88.29,0.8829,14,2,0,0,0,0,0.2553425,0.2553425,19,19,0.192998571,0.192998571,Hollow,3
w4_a.w14_G.D,A,W14,G,A,G,A_W14,1,88.03,0.8803,0,0,0,0,0,0,0.1797093,0.1797093,10,10,0.376081048,0.376081048,Hollow,3
w4_a.w14_S.D.A,A,W14,S,A,A,A_W14,1,88.03,0.8803,20,1,2,2,0,0,0.1797093,0.1797093,10,10,0.324633943,0.324633943,Hollow,3
w4_a.w14_S.D.nA,A,W14,S,nA,nA,A_W14,1,88.03,0.8803,7,1,2,1,0,0,0.1797093,0.1797093,10,10,0.193722817,0.193722817,Hollow,3
w4_b.d29_G.D,B,D29,G,A,G,B_D29,1,82.42,0.8242,0,0,0,0,0,0,NA,0.266299818,NA,6,NA,0.731379619,Hollow,3
w4_b.d29_S.D.A,B,D29,S,A,A,B_D29,1,82.42,0.8242,0,0,0,0,0,0,NA,0.266299818,NA,6,NA,0.450002471,Hollow,3
w4_b.d29_S.D.nA,B,D29,S,nA,nA,B_D29,1,82.42,0.8242,10,3,2,1,0,0,NA,0.266299818,NA,6,NA,0.467305193,Hollow,3
w4_b.g28_G.D,B,G28,G,A,G,B_G28,2,84.01,0.8401,0,0,0,0,0,0,1.0404481,1.0404481,24,24,0.731776077,0.731776077,Slope,2
w4_b.g28_S.D.A,B,G28,S,A,A,B_G28,2,84.01,0.8401,6,3,0,0,0,0,1.0404481,1.0404481,24,24,0.226244903,0.226244903,Slope,2
w4_b.g28_S.D.nA,B,G28,S,nA,nA,B_G28,2,84.01,0.8401,1,1,0,0,0,0,1.0404481,1.0404481,24,24,0.24826081,0.24826081,Slope,2
w4_b.i25_G.D,B,I25,G,A,G,B_I25,1,59.77,0.5977,0,0,0,0,0,0,0.1033429,0.1033429,4,4,0.802896538,0.802896538,Ridge,1
w4_b.i25_S.D.A,B,I25,S,A,A,B_I25,1,59.77,0.5977,3,2,0,0,0,0,0.1033429,0.1033429,4,4,0.353209877,0.353209877,Ridge,1
w4_b.i25_S.D.nA,B,I25,S,nA,nA,B_I25,1,59.77,0.5977,7,1,0,0,0,0,0.1033429,0.1033429,4,4,0.292750346,0.292750346,Ridge,1
w4_b.j29_G.D,B,J29,G,A,G,B_J29,8,64.96,0.6496,0,0,0,0,0,0,0.8891556,0.8891556,21,21,0.486350831,0.486350831,Ridge,1
w4_b.j29_S.D.A,B,J29,S,A,A,B_J29,8,64.96,0.6496,0,0,0,0,0,0,0.8891556,0.8891556,21,21,0.206393009,0.206393009,Ridge,1
w4_b.j29_S.D.nA,B,J29,S,nA,nA,B_J29,8,64.96,0.6496,1,1,0,0,0,0,0.8891556,0.8891556,21,21,0.222925554,0.222925554,Ridge,1
w4_b.m22_G.D,B,M22,G,A,G,B_M22,4,26.37,0.2637,0,0,0,0,0,0,0.5799948,0.5799948,25,25,NA,0.642125252,Ridge,1
w4_b.m22_S.D.A,B,M22,S,A,A,B_M22,4,26.37,0.2637,0,0,0,0,0,0,0.5799948,0.5799948,25,25,0.338985006,0.338985006,Ridge,1
w4_b.m22_S.D.nA,B,M22,S,nA,nA,B_M22,4,26.37,0.2637,2,2,0,0,0,0,0.5799948,0.5799948,25,25,NA,0.36632872,Ridge,1
w4_b.m24_G.D,B,M24,G,A,G,B_M24,2,78.41,0.7841,4,2,0,0,0,0,0.2509594,0.2509594,12,12,NA,0.584238876,Slope,2
w4_b.m24_S.D.A,B,M24,S,A,A,B_M24,2,78.41,0.7841,0,0,0,0,0,0,0.2509594,0.2509594,12,12,0.21531819,0.21531819,Slope,2
w4_b.m24_S.D.nA,B,M24,S,nA,nA,B_M24,2,78.41,0.7841,1,1,0,0,0,0,0.2509594,0.2509594,12,12,0.313674994,0.313674994,Slope,2
w4_b.m29_G.D,B,M29,G,A,G,B_M29,2,19.21,0.1921,0,0,0,0,1,1,1.6794755,1.6794755,18,18,0.768763797,0.768763797,Ridge,1
w4_b.m29_S.D.A,B,M29,S,A,A,B_M29,2,19.21,0.1921,4,2,0,0,0,0,1.6794755,1.6794755,18,18,0.224607843,0.224607843,Ridge,1
w4_b.m29_S.D.nA,B,M29,S,nA,nA,B_M29,2,19.21,0.1921,4,2,2,1,0,0,1.6794755,1.6794755,18,18,0.221096389,0.221096389,Ridge,1
w4_b.m7_G.D,B,M7,G,A,G,B_M7,1,1.49,0.0149,0,0,0,0,0,0,0.3248852,0.3248852,6,6,0.573661122,0.573661122,Slope,2
w4_b.m7_S.D.A,B,M7,S,A,A,B_M7,1,1.49,0.0149,0,0,0,0,0,0,0.3248852,0.3248852,6,6,0.384847689,0.384847689,Slope,2
w4_b.m7_S.D.nA,B,M7,S,nA,nA,B_M7,1,1.49,0.0149,3,1,0,0,0,0,0.3248852,0.3248852,6,6,0.396639566,0.396639566,Slope,2
w4_b.n28_G.D,B,N28,G,A,G,B_N28,1,47.12,0.4712,0,0,0,0,0,0,NA,0.024999732,17,17,NA,0.609954241,Ridge,1
w4_b.n28_S.D.A,B,N28,S,A,A,B_N28,1,47.12,0.4712,0,0,0,0,0,0,NA,0.024999732,17,17,NA,0.319694891,Ridge,1
w4_b.n28_S.D.nA,B,N28,S,nA,nA,B_N28,1,47.12,0.4712,0,0,0,0,0,0,NA,0.024999732,17,17,NA,0.335039389,Ridge,1
w4_b.n5_G.D,B,N5,G,A,G,B_N5,1,0,0,0,0,0,0,0,0,0.0052094,0.0052094,12,12,0.740627109,0.740627109,Slope,2
w4_b.n5_S.D.A,B,N5,S,A,A,B_N5,1,0,0,14,3,0,0,0,0,0.0052094,0.0052094,12,12,0.2170258,0.2170258,Slope,2
w4_b.n5_S.D.nA,B,N5,S,nA,nA,B_N5,1,0,0,15,4,0,0,0,0,0.0052094,0.0052094,12,12,0.432053848,0.432053848,Slope,2
w4_b.o27_G.D,B,O27,G,A,G,B_O27,2,74.57,0.7457,1,1,0,0,0,0,0.0190729,0.0190729,7,7,0.604929121,0.604929121,Slope,2
w4_b.o27_S.D.A,B,O27,S,A,A,B_O27,2,74.57,0.7457,4,2,1,1,62,1,0.0190729,0.0190729,7,7,0.293888456,0.293888456,Slope,2
w4_b.o27_S.D.nA,B,O27,S,nA,nA,B_O27,2,74.57,0.7457,0,0,0,0,0,0,0.0190729,0.0190729,7,7,0.28088035,0.28088035,Slope,2
w4_b.o31_G.D,B,O31,G,A,G,B_O31,4,86.59,0.8659,0,0,0,0,0,0,0.7910511,0.7910511,8,8,0.10323808,0.10323808,Slope,2
w4_b.o31_S.D.A,B,O31,S,A,A,B_O31,4,86.59,0.8659,1,1,0,0,0,0,0.7910511,0.7910511,8,8,0.535526316,0.535526316,Slope,2
w4_b.o31_S.D.nA,B,O31,S,nA,nA,B_O31,4,86.59,0.8659,0,0,0,0,0,0,0.7910511,0.7910511,8,8,0.520620893,0.520620893,Slope,2
w4_b.q17_G.D,B,Q17,G,A,G,B_Q17,8,79.91,0.7991,0,0,0,0,0,0,0.0968114,0.0968114,NA,19,0.595721424,0.595721424,Ridge,1
w4_b.q17_S.D.A,B,Q17,S,A,A,B_Q17,8,79.91,0.7991,0,0,0,0,0,0,0.0968114,0.0968114,NA,19,0.352348168,0.352348168,Ridge,1
w4_b.q17_S.D.nA,B,Q17,S,nA,nA,B_Q17,8,79.91,0.7991,4,2,1,1,0,0,0.0968114,0.0968114,NA,19,0.355350066,0.355350066,Ridge,1
w4_b.q27_G.D,B,Q27,G,A,G,B_Q27,1,64.54,0.6454,0,0,0,0,0,0,0.0335622,0.0335622,10,10,0.862637709,0.862637709,Slope,2
w4_b.q27_S.D.A,B,Q27,S,A,A,B_Q27,1,64.54,0.6454,1,1,0,0,0,0,0.0335622,0.0335622,10,10,0.467083008,0.467083008,Slope,2
w4_b.q27_S.D.nA,B,Q27,S,nA,nA,B_Q27,1,64.54,0.6454,0,0,0,0,0,0,0.0335622,0.0335622,10,10,0.703417335,0.703417335,Slope,2
w4_b.q29_G.D,B,Q29,G,A,G,B_Q29,1,89.33,0.8933,1,1,1,1,1,1,0.1189457,0.1189457,7,7,1.006072874,0.9999,Valley,3
w4_b.q29_S.D.A,B,Q29,S,A,A,B_Q29,1,89.33,0.8933,4,1,1,1,0,0,0.1189457,0.1189457,7,7,0.496971604,0.496971604,Valley,3
w4_b.q29_S.D.nA,B,Q29,S,nA,nA,B_Q29,1,89.33,0.8933,8,3,4,2,0,0,0.1189457,0.1189457,7,7,0.665809957,0.665809957,Valley,3
w4_b.r29_G.D,B,R29,G,A,G,B_R29,1,73.6,0.736,2,2,0,0,0,0,0.148011,0.148011,17,17,0.705689278,0.705689278,Slope,2
w4_b.r29_S.D.A,B,R29,S,A,A,B_R29,1,73.6,0.736,0,0,0,0,316,1,0.148011,0.148011,17,17,0.697682626,0.697682626,Slope,2
w4_b.r29_S.D.nA,B,R29,S,nA,nA,B_R29,1,73.6,0.736,0,0,0,0,939,1,0.148011,0.148011,17,17,0.485153973,0.485153973,Slope,2
w4_b.r3_G.D,B,R3,G,A,G,B_R3,4,63.37,0.6337,2,1,0,0,0,0,0.2597367,0.2597367,22,22,0.595801938,0.595801938,Slope,2
w4_b.r3_S.D.A,B,R3,S,A,A,B_R3,4,63.37,0.6337,5,3,0,0,0,0,0.2597367,0.2597367,22,22,0.322145368,0.322145368,Slope,2
w4_b.r3_S.D.nA,B,R3,S,nA,nA,B_R3,4,63.37,0.6337,2,1,1,1,0,0,0.2597367,0.2597367,22,22,0.468235294,0.468235294,Slope,2
w4_b.s18_G.D,B,S18,G,A,G,B_S18,4,30.97,0.3097,0,0,0,0,0,0,0.0075361,0.0075361,18,18,0.744880375,0.744880375,Slope,2
w4_b.s18_S.D.A,B,S18,S,A,A,B_S18,4,30.97,0.3097,1,1,1,1,0,0,0.0075361,0.0075361,18,18,0.325611326,0.325611326,Slope,2
w4_b.s18_S.D.nA,B,S18,S,nA,nA,B_S18,4,30.97,0.3097,0,0,0,0,0,0,0.0075361,0.0075361,18,18,0.377175267,0.377175267,Slope,2
w4_b.s22_G.D,B,S22,G,A,G,B_S22,16,68.53,0.6853,0,0,0,0,12,1,0.0109085,0.0109085,20,20,0.817171788,0.817171788,Hollow,3
w4_b.s22_S.D.A,B,S22,S,A,A,B_S22,16,68.53,0.6853,21,2,0,0,0,0,0.0109085,0.0109085,20,20,0.308934681,0.308934681,Hollow,3
w4_b.s22_S.D.nA,B,S22,S,nA,nA,B_S22,16,68.53,0.6853,19,2,0,0,0,0,0.0109085,0.0109085,20,20,0.569331432,0.569331432,Hollow,3
w4_b.t13_G.D,B,T13,G,A,G,B_T13,1,38.9,0.389,2,1,0,0,0,0,0.008855,0.008855,17,17,NA,0.57657207,Spur,1
w4_b.t13_S.D.A,B,T13,S,A,A,B_T13,1,38.9,0.389,10,4,5,1,0,0,0.008855,0.008855,17,17,0.241608678,0.241608678,Spur,1
w4_b.t13_S.D.nA,B,T13,S,nA,nA,B_T13,1,38.9,0.389,0,0,0,0,0,0,0.008855,0.008855,17,17,NA,0.304940122,Spur,1
w4_b.t29_G.D,B,T29,G,A,G,B_T29,1,42.2,0.422,0,0,0,0,0,0,0.0056028,0.0056028,5,5,0.439616102,0.439616102,Valley,3
w4_b.t29_S.D.A,B,T29,S,A,A,B_T29,1,42.2,0.422,0,0,1,1,0,0,0.0056028,0.0056028,5,5,0.784786642,0.784786642,Valley,3
